offset,singular_series,observed_count,predicted_count,weighted_observed,weighted_predicted,mean_count_residual,std_count_residual,mean_psi_residual,std_psi_residual,aggregate_count_residual,aggregate_psi_residual,omega,big_omega,largest_prime_factor,reciprocal_factor_sum
124,1.3658520327866268,447438,447012.57720020483,135384318.40756834,135217318.85805127,-0.00014669415654821645,0.009807284380625326,0.00015701256759461656,0.009813842120211391,0.0009517020806433241,0.0012350455616738643,2,3,31,0.532258064516129
126,3.1687767160649742,1037145,1037068.8846563197,313773843.38158625,313704103.7000377,0.00016770803626780834,0.003450557231193524,0.0004593777973857268,0.0034343058188385234,7.33946845830058e-05,0.0002223103897143197,3,4,7,0.976190476190476
128,1.3203236316937392,432371,432111.9125867351,130830699.8076539,130710011.5205819,-5.3939854457549914e-05,0.0031370871367812575,0.00048362739673545214,0.0031283078511996775,0.0005995840561625609,0.0009233285627321397,1,7,2,0.5
130,1.920470737009075,627837,628526.2398545507,189960576.95504513,190123607.0295487,-0.0010503366187528086,0.005336545541761033,-0.0005148428022355,0.005488333856718067,-0.001096596786015147,-0.0008574951688047339,3,3,13,0.7769230769230768
132,2.9340525148749763,958784,960248.1493628274,290097126.57851666,290466551.4334391,-0.001698108508975537,0.00401051046016316,-0.0012017227059179583,0.004063889155405182,-0.0015247614523380415,-0.0012718326881333564,3,4,11,0.9242424242424242
134,1.340636302950566,438911,438759.41444233374,132769580.0819584,132720838.24893087,0.0013554966128367166,0.005297126264260864,0.0016023924910997835,0.005434673784435592,0.00034548673527368123,0.0003672507924949997,2,2,67,0.5149253731343284
136,1.4083452071399885,461147,460918.84996246337,139515654.71742162,139423877.0874808,-0.0012411821129278083,0.0041621778900131304,-0.0009898678348463084,0.004113510618749772,0.0004949896007837573,0.0006582633610399125,2,4,17,0.5588235294117647
138,2.766392371167835,905434,905376.0553683541,273957346.1380497,273868263.599849,0.00017918592101371682,0.004682454024502432,0.0006062735285367667,0.004720577445046539,6.400062305855769e-05,0.000325275141521697,3,3,23,0.8768115942028984
140,2.1125178107099827,690991,691377.8823461545,209075356.95190343,209135714.2303663,-0.0021272254725089915,0.004072335762519785,-0.0018083526762754448,0.003991675136937052,-0.0005595816065762094,-0.0002886034013127592,3,4,7,0.8428571428571427
142,1.33945875679075,438573,438373.5328198995,132724344.05754368,132604134.4845627,-0.00057329704053,0.003760952324147209,0.00011724090236951668,0.003602496792616805,0.00045501647605727946,0.0009065295999122203,2,2,71,0.5140845070422535
144,2.6406472633874785,863677,864221.8621857675,261258475.6204326,261419516.03688923,0.0001267098489501667,0.004031472444595299,0.00033149937266505,0.0040784520185240675,-0.0006304656357447591,-0.0006160229308737053,2,6,3,0.8333333333333333
146,1.3389197391823835,438517,438196.87613018265,132656028.4720553,132550708.39167292,0.0030482151208492698,0.008554101343148535,0.0033321236659336084,0.008527619696441271,0.0007305480418857702,0.0007945644475257918,2,2,73,0.5136986301369864
148,1.358047164027846,444271,444456.70531140437,134429366.17693806,134444257.34699345,0.0009791833857919834,0.005969938748035131,0.0017101152042142001,0.006344178852470109,-0.0004178254241304913,-0.00011076092314565855,2,3,37,0.527027027027027
150,3.520863017849971,1152189,1152294.8347538386,348582387.1114261,348559101.213715,0.0004594766994709683,0.001496708011446447,0.000968447760845725,0.0015870339310012343,-9.184693938268929e-05,6.680616753373947e-05,3,4,5,1.0333333333333332
152,1.3979897276757238,457150,457528.7015427791,138332140.6363293,138398433.1066334,-0.002509100299357875,0.004355231293966001,-0.0020264448167925165,0.004181003201732649,-0.0008277110080791017,-0.0004789972604171133,2,4,19,0.5526315789473684
154,1.7604315089249858,575877,576147.0902123022,174226590.19112065,174279466.1061451,-2.443236133800496e-06,0.004882471212489443,0.00023878378947855838,0.004954171953079932,-0.00046878690683427315,-0.0003033972745375424,3,3,11,0.7337662337662337
156,2.8807061055136125,942279,942785.8799399894,285066874.8077835,285184511.7640181,-3.474339057463326e-05,0.0034259841456691057,0.0002806182055837167,0.003568901043428223,-0.0005376405722385957,-0.00041249419720235103,3,4,13,0.9102564102564101
158,1.337470691845606,437756,437721.8914063581,132454498.51466867,132407062.64828323,0.00036994524275748344,0.008042827949138407,0.0008182379061894667,0.008084995638701506,7.792297874864573e-05,0.0003582578258038982,2,2,79,0.5126582278481012
160,1.7604315089249856,575254,576146.5994653765,174025169.5585146,174279339.35507643,-0.0010045349721359083,0.00552213522343438,-0.0007170520321474249,0.005587841985538468,-0.0015492575434875588,-0.0014584046365013759,2,6,5,0.7
162,2.6406472633874785,864174,864219.6538246018,261470333.13630098,261418945.65708032,0.00015945271821705002,0.003743926825111408,0.0006976398679829584,0.0037397279601899796,-5.282664470740439e-05,0.00019657136590267577,2,5,3,0.8333333333333333
164,1.3541780837884505,443178,443189.4402313532,134087186.49106064,134060965.27258769,3.446510976193314e-05,0.006279988957084398,0.00038556824512300846,0.0062799739123559975,-2.5813411409947307e-05,0.00019559174752803443,2,3,41,0.524390243902439
166,1.3366239234430448,437169,437444.2677306756,132243590.42180929,132323105.86600593,0.0016890792892295418,0.009178568737149874,0.0019670750824794833,0.00939204338255522,-0.0006292635450535489,-0.0006009188166816726,2,2,83,0.5120481927710844
168,3.1687767160649742,1037368,1037062.701245056,313843942.78828156,313702506.63657284,0.0003073257887851244,0.0023200334702233303,0.00072119083712401,0.0023590810740665865,0.0002943879425780782,0.00045086076367439887,3,5,7,0.976190476190476
170,1.8777936095199843,614578,614555.5003240892,185926637.77871716,185897736.64351505,0.0004470055210436499,0.003775447330902745,0.0006609003562435166,0.003692409087507413,3.661130019816383e-05,0.0001554679240529655,3,3,17,0.7588235294117647
172,1.3525266471009036,442951,442648.46258787904,134026404.65332487,133897346.44798985,-0.0006995370315226083,0.00525670872473372,-0.0002643565053810585,0.005101857291921809,0.000683471055907825,0.0009638593202827561,2,3,43,0.5232558139534884
174,2.73844901388331,895684,896226.2623832256,270942902.7760411,271100734.49290675,-0.0003991145030598204,0.004124066014743177,-0.00014370454170793882,0.003978648699827921,-0.0006050507622746837,-0.0005821884516871156,3,3,29,0.8678160919540229
176,1.4670262574374882,480705,480121.07567242335,145433620.48156756,145232501.1268556,0.0009970560594971334,0.005740629034267945,0.0012307846879377668,0.005844331358677654,0.0012162022397346206,0.0013848095512469794,2,5,11,0.5909090909090909
178,1.3354997653913685,437181,437075.6137565927,132274141.62895776,132211624.14624661,-0.0005962410359371585,0.005119807122983432,-0.00032776642198765815,0.005010862336597966,0.00024111673149995738,0.00047285919914275,2,2,89,0.5112359550561798
180,3.520863017849971,1151848,1152289.9272845816,348521838.60795677,348557833.7030286,-0.0008430450996313918,0.0027211461046784957,-0.00039419349538511486,0.0027702993767721343,-0.00038352091267779276,-0.00010326864465914909,3,5,5,1.0333333333333332
182,1.7284236633081675,565804,565669.4400588917,171222577.77695417,171110167.79022792,-0.00230512212912175,0.005814273241385999,-0.0017824808386744668,0.005679960888500835,0.00023787733891778018,0.0006569451025497663,3,3,13,0.7197802197802197
184,1.3831961855839174,452866,452685.0715181723,137011008.107532,136933368.27563006,-0.0007693536094714476,0.005794977648673494,-0.00046122013146965827,0.00554767564318063,0.00039967848115907145,0.0005669898643378968,2,4,23,0.5434782608695652
186,2.7317040655732536,893640,894017.2855272908,270341257.4247668,270432605.32827777,-0.0005719218239449922,0.0028454824940510725,-0.0003521054597733428,0.0027755116167035164,-0.00042201144586173633,-0.0003377843562912819,3,3,31,0.8655913978494623
188,1.349664156842489,441473,441710.63714001,133585099.20171732,133613706.68506858,-0.0007039218017751334,0.0036722074231082358,-0.00017877447444550722,0.0037526377991354393,-0.0005379927944426655,-0.00021410590321158107,2,3,47,0.5212765957446809
190,1.863986303567632,609898,610034.9778325567,184558429.34900364,184530394.1644234,-0.0006200052037648918,0.0053588720219919,0.00013900775546935834,0.005331367026451611,-0.00022454094852619733,0.00015192719176249092,3,3,19,0.7526315789473683
192,2.6406472633874785,863831,864215.9732226592,261367416.5953091,261417995.02406552,-0.0004884926801747176,0.0033711220055189866,4.267816010108318e-05,0.0035292615390349748,-0.00044545950848795535,-0.00019347722696660963,2,7,3,0.8333333333333333
194,1.3342217751852523,436635,436656.3677553834,132101705.08287317,132084849.67504734,0.00042457248002645843,0.007952589727381392,0.0007456582314167415,0.007820550248962837,-4.8934945099388116e-05,0.0001276104554557289,2,2,97,0.5103092783505154
196,1.5843883580324871,519200,518529.2894854401,157073348.96202877,156850720.96379814,0.0019174064777677585,0.005890459173692195,0.0022078990523075417,0.005941677729106429,0.0012934862661768687,0.00141936228831252,2,4,7,0.6428571428571428
198,2.9340525148749763,960617,960239.1523358562,290640068.2319506,290464227.6638473,-2.0681069052159936e-05,0.003342143276086983,0.00043066181748740024,0.0032218736815787,0.0003934932909417377,0.0006053777069814359,3,4,11,0.9242424242424242
200,1.7604315089249856,576467,576143.3278192051,174404458.4898935,174278494.34795216,0.00014387615028806585,0.004057561461408591,0.0004905986114973666,0.004056232488964353,0.0005617910772655055,0.0007227750182983161,2,5,5,0.7
202,1.3336602340340802,436679,436472.09411886113,132138471.73935546,132029130.37696664,-0.0014234852762224333,0.005257930503795405,-0.0009616252314303001,0.005112646333408489,0.0004740414883948052,0.000828160892044183,2,2,101,0.5099009900990099
204,2.816690414279977,921209,921828.8010473409,278688888.31293887,278845455.7555836,-0.00035274146613379996,0.004660182293481966,-6.313757031095001e-05,0.004637277109659666,-0.0006723602545686269,-0.0005614846482632219,3,4,17,0.892156862745098
206,1.3333961428986278,435856,436385.41619831073,131855400.10315236,132002921.9916989,-0.0013467542542524998,0.005896923967836089,-0.0009533868979637166,0.005863587400127014,-0.001213184901830311,-0.0011175653259843932,2,2,103,0.5097087378640777
208,1.4403530527568065,471361,471389.4601281579,142607006.57405716,142591357.10170415,-0.0005328562948457583,0.004441357781635212,-0.0002059731604660501,0.004391020142685185,-6.037497773114797e-05,0.00010975049730288511,2,5,13,0.5769230769230769
210,4.225035621419965,1382928,1382742.0237783894,418416352.4020786,418267879.4308106,0.0003153470586252764,0.0036561008407523386,0.0007248229902419166,0.003806960237236838,0.0001344981337172424,0.0003549710091774738,4,4,7,1.176190476190476
212,1.346212330354401,440455,440579.44130762346,133254913.33403441,133271595.94091725,0.0013784566034332664,0.004648643082420803,0.001750222247445325,0.0048542082907420455,-0.0002824491929404038,-0.00012517751262042243,2,3,53,0.5188679245283019
214,1.3328981424717747,435834,436221.9383625914,131844621.07010007,131953493.22227584,0.0006053614459280419,0.005793091216731519,0.0010060787517940835,0.005886505884851761,-0.0008893141964558815,-0.0008250797270851207,2,2,107,0.5093457943925234
216,2.6406472633874785,864535,864213.028741105,261553253.04708964,261417234.51765367,-0.00011709623415027503,0.0028934423853532835,0.0001983720836248333,0.002889955059348345,0.0003725600612201063,0.0005203120203107758,2,6,3,0.8333333333333333
218,1.3326631048871385,435977,436144.7691761931,131923661.80637574,131930161.13714433,-0.0030604199394946995,0.0046948012311571075,-0.0027561246911123,0.004563854781685073,-0.0003846639649260908,-4.92634187100327e-05,2,2,109,0.5091743119266054
220,1.9560350099166508,640180,640157.435551244,193660180.63517052,193642302.04932225,0.0004900669539643023,0.003793059001664774,0.0008126172273603918,0.003870226059264938,3.524828034939809e-05,9.23278935389682e-05,3,4,11,0.7909090909090909
