offset,component_1,component_2,component_3,component_4,component_5
492,0.0019039804976559965,0.0014355602914751255,-0.002073252966127346,0.0022681343427226174,-0.004761553936992722
494,0.007437968513412828,0.017989522658918216,0.0012429748903259477,-0.018187291199922538,-0.0010330864469029202
496,0.022808676303198508,0.02004437208599344,0.030752252059005628,-0.014485062662392207,-0.01133452655917315
498,0.0022243831311239267,0.01400857429744377,-0.02191974958143437,0.011614934136490567,0.01190917468579825
500,-0.018051399453588395,-0.007168838548849487,-0.01640361033900264,-0.009474846197249394,0.016829707355339518
502,0.003201132381674083,-0.008243763341926003,-0.0008506651052798181,0.005912733998256669,-0.016135260616973433
504,-0.015442211048541933,0.0027670587839005055,0.023194713910261566,-0.008175915066854994,0.006396155877061597
506,-0.018085899261776513,-0.010646160900272407,0.022690529447992474,-0.008885273313301346,-0.008745156730935708
508,0.0008616472206779951,-0.006250853580086156,-0.012522756566650929,-0.02713086994868978,0.01661749891095704
510,-0.0018107892450219868,0.002247957806479371,-0.002114762382745678,-0.008430016669603357,0.015949368529394835
512,0.021717245143593945,0.013866324666740246,0.01623471663646524,0.012386570990087921,-0.01840066057083741
514,-0.024516194291191104,-0.025431851685885975,0.007171978521329863,-0.012379466727760765,-0.007149112994655245
516,-0.004304649032070361,0.001510488815563797,-0.0006407878047397825,0.009140605075494124,0.021235817308213216
518,-0.0021478694719252044,0.006984090510490591,0.004205757010010637,0.016228661300672118,0.017597397202588645
520,0.016203593824113634,-0.005551288532084108,-0.022331820713282168,-0.004247567344012877,0.021866447383120893
522,-0.012627260500737265,-0.015411217791534652,-0.016908979529270195,-0.003316978891415794,0.0007208052427555861
524,-0.004302405764476979,0.03540131214820114,-0.012349934562506411,-0.006345604381246827,-0.01777998700315904
526,0.004914765741572755,0.024106332936948967,0.0004437286704560748,-0.012888173292095396,-0.01186441678124092
528,-0.011186630760631045,0.01258698200674061,-0.0019352847981190966,-0.012010156845501116,0.002791593645772799
530,0.025610050275168206,0.027005727964369078,-1.975848600241656e-05,-0.004440291781386586,0.01675117682584796
532,-0.01600656374272752,0.011274384183683074,0.00028503324078279867,-0.036775042802230776,0.013945343849689693
534,0.006962571613668823,-0.017869034257942947,0.022649910928306607,-5.8404550927657687e-05,0.004961678745812683
536,-0.009814464942798704,0.017123132390029838,-0.008052218454314926,-0.003021610651920804,-0.013550978580477484
538,0.002387626429505023,-0.003382234781256167,0.018251639773595674,0.022356992941699478,0.01268794722797099
540,-0.0031384444119097877,-0.0012970734804191029,0.003407543608490277,-0.006484258337545524,-0.01015876754105373
542,0.015607672982115574,0.021441047831231106,0.0168362284874976,0.0030329980148430472,-0.008694654046716
544,-0.01062360962049363,-0.025796043603611683,0.009529036804797315,-0.0015070004367423717,-0.004502240773025573
546,0.0015199116016815096,-0.01192140460252258,-0.008171374756728583,-0.008734072326113585,0.007102499721008594
